# OpenWN-PT	por	https://github.com/arademaker/wordnet-br	CC by SA 3.0
00033599-v	lemma	parecer
00033615-n	lemma	magnitude
00033615-n	lemma	medida
00033615-n	lemma	número
00033615-n	lemma	quantia
00033615-n	lemma	quantidade
00033663-r	lemma	um
00033922-r	lemma	brevemente
00033922-r	lemma	já
00033922-r	lemma	pronto
00034115-v	lemma	aplaudir
00034189-r	lemma	brevemente
00034213-n	lemma	fenômeno
00034308-r	lemma	brevemente
00034322-a	lemma	inerte
00034403-r	lemma	momentaneamente
00034479-n	lemma	coisa
00034574-n	lemma	amabilidade
00034574-n	lemma	bondade
00034574-n	lemma	delicadeza
00034574-n	lemma	gentileza
00034777-n	lemma	Abdominoplastia
00034939-n	lemma	aborto
00035058-r	lemma	Freqüentemente
00035058-r	lemma	amiúde
00035058-r	lemma	frequentemente
00035058-r	lemma	freqüentemente
00035089-v	lemma	pigarrear
00035189-n	lemma	conquista
00035189-n	lemma	consumação
00035189-n	lemma	façanha
00035189-n	lemma	feito
00035189-n	lemma	realização
00035320-r	lemma	imediatamente
00035368-a	lemma	aposentado
00035368-a	lemma	jubilado
00035385-r	lemma	raramente
00035491-r	lemma	curiosamente
00035697-n	lemma	agon
00035718-r	lemma	razoavelmente
00035758-v	lemma	lavar
00035758-v	lemma	limpar
00036254-a	lemma	aberto
00036291-r	lemma	fracamente
00036291-r	lemma	lestamente
00036291-r	lemma	levemente
00036291-r	lemma	levianamente
00036291-r	lemma	ligeiramente
00036362-v	lemma	lavar-se
00036362-v	lemma	limpar
00036609-r	lemma	amplamente
00036609-r	lemma	extensivamente
00036609-r	lemma	largamente
00036762-n	lemma	façanha
00036762-n	lemma	feito
00036762-n	lemma	proeza
00036762-n	lemma	realização
00036762-r	lemma	intrinsecamente
00036780-v	lemma	esfregar
00036932-v	lemma	ensaboar
00036935-r	lemma	impreterivelmente
00036935-r	lemma	infalivelmente
00036998-a	lemma	lento
00037006-n	lemma	obra-prima
00037138-v	lemma	bochechar
00037138-v	lemma	enxaguar
00037138-v	lemma	gargarejar
00037226-r	lemma	genuìna
00037226-r	lemma	sinceramente
00037298-v	lemma	barbear-se
00037396-n	lemma	atividade
00037396-n	lemma	ato
00037396-n	lemma	ação
00037514-v	lemma	depilar
00037653-a	lemma	progressivo
00037919-v	lemma	banhar-se
00038260-a	lemma	indolente
00038262-n	lemma	caminho
00038262-n	lemma	conduta
00038262-n	lemma	corrente
00038262-n	lemma	curso
00038365-v	lemma	pentear
00038625-r	lemma	compreensivelmente
00038625-r	lemma	decerto
00038625-r	lemma	naturalmente
00038750-a	lemma	agencioso
00038750-a	lemma	ativo
00039021-n	lemma	interação
00039122-a	lemma	activista
00039122-a	lemma	ativista
00039211-n	lemma	interacção
00039211-n	lemma	interação
00039297-n	lemma	contato
00039297-n	lemma	ligação
00039318-r	lemma	abertamente
00039318-r	lemma	claramente
00039318-r	lemma	evidentemente
00039318-r	lemma	obviamente
00039916-n	lemma	busque
00039941-r	lemma	aparentemente
00040152-n	lemma	intercâmbio
00040353-v	lemma	cuidar-se
00040365-r	lemma	novamente
00040420-n	lemma	intercambio
00040420-n	lemma	reciprocidade
00040547-r	lemma	Casualmente
00040547-r	lemma	acidentalmente
00040719-r	lemma	inesperada
00040719-r	lemma	inesperadamente
00040719-r	lemma	inopinadamente
00040719-r	lemma	repentinamente
00040766-v	lemma	limpar
00040928-v	lemma	maquiar
00040928-v	lemma	maquilar
00041051-a	lemma	apagado
00041051-a	lemma	extincto
00041051-a	lemma	extinto
00041051-a	lemma	liquidado
00041051-a	lemma	revogado
00041554-v	lemma	pintar
00041740-n	lemma	boliche
00041758-r	lemma	concretamente
00041758-r	lemma	especificamente
00041899-n	lemma	aquisição
00041954-r	lemma	generalmente
00042173-v	lemma	empoar
00042254-r	lemma	felizmente
00042311-n	lemma	causalidade
00042614-r	lemma	descontentemente
00042614-r	lemma	tristemente
00042757-n	lemma	partida
00042769-r	lemma	desgraçadamente
00042769-r	lemma	infelizmente
00042769-r	lemma	lamentavelmente
00042792-v	lemma	barbear
00043003-r	lemma	consequentemente
00043003-r	lemma	daqui
00043003-r	lemma	portanto
00043078-v	lemma	ataviar
00043078-v	lemma	vestir
00043195-n	lemma	descoberta
00043195-n	lemma	descobrimento
00043480-v	lemma	perfumar
00043608-r	lemma	daí
00043765-a	lemma	efectivo
00043765-a	lemma	verdadeiro
00043902-n	lemma	batida
00043902-n	lemma	jogada
00043902-n	lemma	rebatida
00044149-v	lemma	vestir
00044150-n	lemma	execução
00044150-n	lemma	implementação
00044150-n	lemma	realização
00044353-a	lemma	possivel
00044353-a	lemma	possível
00044353-a	lemma	potencial
00044455-n	lemma	emergência
00044608-a	lemma	latente
00044673-n	lemma	equalizador
00044673-n	lemma	equalização
00044760-a	lemma	pontiagudo
00044797-v	lemma	vestir
00044900-n	lemma	exumação
00044987-a	lemma	subagudo
00045114-n	lemma	mitzvá
00045123-a	lemma	crónico
00045123-a	lemma	crônico
00045250-n	lemma	impulsão
00045250-n	lemma	propulsão
00045356-a	lemma	degenerativo
00045561-a	lemma	virulento
00045646-n	lemma	Rali
00045646-n	lemma	rali
00045646-n	lemma	reabilitação
00045817-v	lemma	emagrecer
00045817-v	lemma	perder peso
00045817-v	lemma	reduzir peso
00045888-a	lemma	mortal
00045907-n	lemma	recuperação
00046109-a	lemma	adaptável
00046151-v	lemma	engordar
00046151-v	lemma	ganhar peso
00046167-r	lemma	ademais
00046167-r	lemma	adicionalmente
00046177-n	lemma	escapatória
00046177-n	lemma	escape
00046177-n	lemma	fuga
00046299-r	lemma	bué
00046299-r	lemma	extremamente
00046299-r	lemma	muito
00046344-n	lemma	façanha
00046344-n	lemma	proeza
00046471-a	lemma	adaptativo
00046522-n	lemma	contato
00046522-n	lemma	toque
00046534-v	lemma	arrumar-se
00046534-v	lemma	vestir-se
00046639-r	lemma	loucamente
00046792-a	lemma	disfuncional
00046863-r	lemma	extraordinariamente
00046863-r	lemma	extraordinària
00047018-n	lemma	façanha
00047029-a	lemma	viciado
00047243-a	lemma	alcoólico
00047317-v	lemma	experimentar
00047392-r	lemma	excessivamente
00047392-r	lemma	medos
00047406-a	lemma	dependente
00047534-r	lemma	ainda
00047534-r	lemma	idem
00047534-r	lemma	outrossim
00047534-r	lemma	também
00047745-n	lemma	expediente
00047745-v	lemma	vestir
00047903-r	lemma	enfim
00047903-r	lemma	finalmente
00047903-r	lemma	ultimamente
00047945-v	lemma	vestir
00048129-a	lemma	aditivo
00048138-r	lemma	emfim
00048138-r	lemma	enfim
00048138-r	lemma	finalmente
00048225-n	lemma	chegar la-metaforicamente
00048268-r	lemma	actualmente
00048268-r	lemma	atualmente
00048268-r	lemma	brevemente
00048268-r	lemma	presentemente
00048374-n	lemma	chegada
00048460-a	lemma	cumulativo
00048475-r	lemma	actualmente
00048475-r	lemma	atualmente
00048475-r	lemma	hoje
00048475-r	lemma	presentemente
00048656-n	lemma	conseguimento
00048739-r	lemma	directamente
00048739-r	lemma	imediatamente
00048739-r	lemma	instantaneamente
00048828-n	lemma	advento
00048828-n	lemma	chegada
00048828-n	lemma	vinda
00048858-a	lemma	aditivo
00048858-a	lemma	extra
00049003-n	lemma	entrada
00049003-n	lemma	ingresso
00049016-a	lemma	complementar
00049220-r	lemma	actualmente
00049220-r	lemma	agora
00049220-r	lemma	atualmente
00049220-r	lemma	ora
00049266-a	lemma	incremental
00049770-v	lemma	calçar
00049789-n	lemma	acesso
00049879-a	lemma	adicional
00049879-a	lemma	complementar
00049879-a	lemma	suplementar
00049900-v	lemma	desnudar
00049900-v	lemma	despir
00049900-v	lemma	despojar
00049947-r	lemma	agresivamente
00049947-r	lemma	brilhantemente
00050037-n	lemma	inscrição
00050037-n	lemma	matricula
00050037-n	lemma	registro
00050186-r	lemma	constantemente
00050186-r	lemma	firmemente
00050260-a	lemma	ablativo
00050297-r	lemma	contentemente
00050446-a	lemma	redutor
00050556-r	lemma	descontentemente
00050556-r	lemma	tristemente
00050652-v	lemma	caber
00050652-v	lemma	colocar
00050652-v	lemma	usar
00050652-v	lemma	vestir
00050693-n	lemma	emergência
00050817-r	lemma	firmemente
00051017-r	lemma	diretamente
00051045-a	lemma	adequado
00051045-a	lemma	capaz
00051192-n	lemma	regresso
00051192-n	lemma	retorno
00051192-n	lemma	vinda
00051192-n	lemma	volta
00051373-a	lemma	adequado
00051373-a	lemma	capaz
00051848-r	lemma	imediatamente
00052012-a	lemma	insuficiente
00052043-v	lemma	vestido
00052043-v	lemma	vestir
00052246-a	lemma	incapaz
00052246-a	lemma	incompetente
00052500-n	lemma	aterragem
00052500-n	lemma	chegada
00052548-v	lemma	fecundar
00052548-v	lemma	fertilizar
00052548-v	lemma	inseminar
00052672-a	lemma	adesivo
00053004-r	lemma	bem
00053032-a	lemma	Aderente
00053032-a	lemma	aderente
00053097-n	lemma	despedida
00053097-n	lemma	partida
00053152-r	lemma	bem
00053159-v	lemma	emprenhar
00053159-v	lemma	engravidar
00053274-r	lemma	depressa
00053384-a	lemma	coerente
00053384-a	lemma	tenaz
00053394-r	lemma	abertamente
00053394-r	lemma	semrodeios
00053512-r	lemma	praticamente
00053564-a	lemma	coesivo
00053691-a	lemma	viscoso
00053744-r	lemma	praticamente
00053744-r	lemma	quase
00053913-n	lemma	retirada
00053952-r	lemma	provavelmente
00054109-a	lemma	viscoso
00054327-r	lemma	provisoriamente
00054327-r	lemma	temporiamente
00054328-n	lemma	esfacelamento
00054628-v	lemma	conceber
00054628-v	lemma	gerar
00054628-v	lemma	procriar
00054821-n	lemma	evacuação
00054950-r	lemma	terrivelmente
00055101-r	lemma	abissalmente
00055101-r	lemma	terrivelmente
00055142-v	lemma	gerar
00055142-v	lemma	procriar
00055142-v	lemma	reproduzir
00055315-n	lemma	deserção
00055340-a	lemma	processual
00055518-r	lemma	inaceitavelmente
00055518-r	lemma	intoleravelmente
00055539-a	lemma	essencial
00055539-v	lemma	propagar
00055739-r	lemma	abusivamente
00055859-r	lemma	admiradamente
00055871-v	lemma	propagar
00056002-a	lemma	adornado
00056087-n	lemma	emigração
00056087-n	lemma	expatriação
00056093-v	lemma	inocular
00056311-n	lemma	imigração
00056340-r	lemma	horrivelmente
00056340-r	lemma	terrivelmente
00056539-r	lemma	enormemente
00056539-r	lemma	grandemente
00056539-r	lemma	muito
00056652-r	lemma	drasticamente
00056683-v	lemma	gerar
00056683-v	lemma	procriar
00056729-r	lemma	nada
00056912-n	lemma	retirada
00056930-v	lemma	dar à luz
00056930-v	lemma	parir
00056930-v	lemma	pôr no mundo
00057257-r	lemma	exaustivamente
00057306-n	lemma	retirada
00057388-r	lemma	minuciosamente
00057486-n	lemma	recessão
00057657-n	lemma	partida
00057892-r	lemma	minuciosamente
00057895-v	lemma	parir
00058002-n	lemma	desembarque
00058135-v	lemma	parir
00058247-n	lemma	desembarque
00058265-v	lemma	parir
00058337-n	lemma	embarque
00058359-r	lemma	indirectamente
00058359-r	lemma	indiretamente
00058401-v	lemma	parir
00058516-v	lemma	parir
00058519-n	lemma	saída
00058645-v	lemma	parir
00058743-n	lemma	escapada
00058743-n	lemma	escape
00058743-n	lemma	fuga
00058794-v	lemma	parir
00058897-v	lemma	parir
00059019-v	lemma	aguardar
00059019-v	lemma	esperar
00059127-n	lemma	evasão
00059171-r	lemma	bastante
00059171-r	lemma	mui
00059171-r	lemma	muita
00059376-v	lemma	aguardar
00059376-v	lemma	esperar
